1, 2, WinRate, Win, Defeat
55, 63,36.61 ,93, 161
55, 72,30.42 ,73, 167
40, 48,46.28 ,833, 967
1, 71,37.13 ,2476, 4192
3, 26,35.97 ,469, 835
4, 28,41.48 ,348, 491
4, 22,53.86 ,2056, 1761
23, 28,41.76 ,1084, 1512
19, 28,42.65 ,2739, 3683
4, 6,55.88 ,1928, 1522
1, 23,34.16 ,2211, 4262
67, 74,41.12 ,6964, 9972
9, 26,40.29 ,4972, 7368
1, 45,46.5 ,2952, 3397
1, 75,36.57 ,2479, 4299
21, 45,47.07 ,2786, 3133
1, 39,36.81 ,4730, 8120
14, 29,43.11 ,2980, 3932
2, 25,42.42 ,3691, 5010
41, 68,42.6 ,3377, 4551
23, 26,32.53 ,2323, 4819
14, 63,37.75 ,2160, 3562
39, 95,40.95 ,1308, 1886
41, 74,42.47 ,15101, 20455
19, 45,49.72 ,2444, 2472
31, 46,47.34 ,2032, 2260
9, 17,44.02 ,3722, 4733
29, 81,48.09 ,466, 503
13, 45,47.46 ,625, 692
28, 58,36.32 ,413, 724
9, 11,42.22 ,4225, 5781
4, 32,52.5 ,526, 476
44, 51,44.07 ,4143, 5257
39, 56,48.09 ,1585, 1711
27, 42,39.56 ,1410, 2154
6, 27,48.2 ,2471, 2656
47, 84,51.04 ,3285, 3151
14, 73,42.36 ,2697, 3670
50, 81,46.61 ,694, 795
25, 47,44.4 ,1476, 1848
26, 74,37.64 ,8649, 14331
42, 45,47.08 ,1186, 1333
2, 39,39.89 ,3101, 4673
10, 87,40.21 ,2689, 3998
31, 67,42.14 ,4130, 5671
10, 32,44.17 ,935, 1182
5, 11,41.87 ,4065, 5643
21, 23,36.74 ,2448, 4215
13, 25,39.29 ,1185, 1831
14, 64,41.79 ,4874, 6788
31, 34,43.29 ,1538, 2015
19, 37,44.22 ,2023, 2552
5, 29,45.32 ,2409, 2906
4, 9,50.18 ,1665, 1653
6, 13,48.05 ,1776, 1920
53, 64,39.33 ,1063, 1640
17, 39,37.33 ,1067, 1791
2, 30,42.7 ,3438, 4613
22, 41,40.92 ,6256, 9033
25, 34,40.07 ,1126, 1684
4, 19,48.49 ,1917, 2036
62, 70,36.67 ,660, 1140
14, 32,41.63 ,2448, 3432
13, 31,39.87 ,1546, 2332
16, 68,42.97 ,1124, 1492
14, 54,38.42 ,4817, 7720
26, 38,40.63 ,1052, 1537
46, 59,38.4 ,96, 154
25, 82,46.72 ,569, 649
26, 46,38.98 ,2494, 3904
58, 75,32.03 ,123, 261
11, 21,39.34 ,4973, 7669
31, 51,47.11 ,2684, 3013
4, 20,53.26 ,930, 816
85, 86,44.85 ,2356, 2897
27, 56,50.93 ,1700, 1638
1, 34,38.59 ,1755, 2793
13, 18,43.04 ,2275, 3011
9, 31,46.13 ,3326, 3884
40, 67,43.43 ,2703, 3521
2, 37,44.11 ,1829, 2317
1, 86,37.31 ,6754, 11346
21, 35,35.89 ,1891, 3378
25, 70,36.72 ,1700, 2929
17, 69,35.36 ,1255, 2294
35, 54,37.67 ,1082, 1790
32, 37,48.54 ,717, 760
46, 50,41.83 ,853, 1186
29, 47,47.82 ,669, 730
9, 54,43.73 ,3416, 4396
5, 54,43.76 ,3104, 3990
17, 31,42.88 ,3060, 4076
68, 74,41.7 ,3099, 4333
4, 46,50.2 ,748, 742
1, 46,37.62 ,1953, 3239
3, 56,49.61 ,954, 969
8, 49,44.68 ,1647, 2039
41, 81,43.97 ,1010, 1287
48, 69,38.32 ,604, 972
15, 21,40.13 ,561, 837
27, 40,45.82 ,1244, 1471
53, 54,35.51 ,1032, 1874
16, 40,41.22 ,758, 1081
30, 40,44.56 ,1709, 2126
5, 46,46.7 ,2158, 2463
19, 93,38.63 ,4135, 6569
22, 35,36.27 ,1051, 1847
1, 55,37.48 ,669, 1116
14, 66,38.58 ,358, 570
11, 27,42.68 ,2696, 3621
16, 50,41.77 ,891, 1242
29, 74,45.5 ,4131, 4949
28, 31,44.67 ,3277, 4059
34, 41,39.81 ,2322, 3510
74, 83,47.76 ,4395, 4808
25, 51,44.88 ,2452, 3012
7, 32,44.07 ,1159, 1471
41, 76,37.74 ,1447, 2387
19, 43,42.62 ,658, 886
22, 39,38.76 ,2096, 3311
3, 10,42.58 ,1219, 1644
30, 70,36.88 ,1594, 2728
56, 73,50.16 ,617, 613
18, 74,44.29 ,7799, 9811
11, 33,37.33 ,719, 1207
19, 79,38.01 ,666, 1086
29, 44,42.9 ,2838, 3778
2, 62,43.59 ,1252, 1620
10, 38,46.16 ,745, 869
15, 68,43.83 ,206, 264
61, 63,56.21 ,317, 247
14, 60,41.01 ,2624, 3774
19, 68,44.3 ,2050, 2578
27, 53,39.72 ,864, 1311
18, 28,45.96 ,3707, 4359
25, 57,45.48 ,448, 537
65, 74,36.01 ,781, 1388
10, 35,36.16 ,909, 1605
51, 68,48.39 ,1529, 1631
26, 58,33.18 ,360, 725
12, 40,42.3 ,753, 1027
46, 79,43.02 ,382, 506
1, 6,38.18 ,791, 1281
16, 25,41.06 ,2299, 3300
12, 26,35.54 ,1909, 3462
28, 48,47.49 ,1267, 1401
26, 49,34.94 ,1226, 2283
17, 26,35.96 ,4258, 7583
25, 61,59.59 ,960, 651
30, 46,42.48 ,1810, 2451
25, 45,46.3 ,1546, 1793
8, 18,40.21 ,1425, 2119
12, 28,39.18 ,981, 1523
3, 39,39.51 ,1038, 1589
19, 59,45.1 ,985, 1199
11, 50,39.04 ,1795, 2803
20, 32,46.67 ,554, 633
