1, 2, WinRate, Win, Defeat
1, 32,47.37 ,1696, 1884
16, 20,54.43 ,2386, 1998
22, 36,53.54 ,3815, 3310
30, 38,53.61 ,1902, 1646
10, 43,49.0 ,881, 917
19, 43,49.8 ,1488, 1500
9, 95,53.75 ,3910, 3365
19, 85,50.71 ,4092, 3978
3, 22,54.02 ,2752, 2342
31, 59,57.13 ,2344, 1759
51, 67,52.18 ,8104, 7427
10, 23,43.1 ,2850, 3762
21, 53,44.34 ,4667, 5858
28, 71,47.95 ,2863, 3108
10, 67,49.67 ,4257, 4314
4, 8,59.55 ,6260, 4253
37, 47,56.74 ,2269, 1730
19, 56,57.13 ,6375, 4783
23, 37,48.87 ,2176, 2277
40, 67,52.8 ,6692, 5983
22, 23,43.86 ,2635, 3373
8, 54,41.32 ,1180, 1676
17, 43,52.2 ,392, 359
8, 18,49.62 ,3493, 3546
28, 51,50.75 ,3157, 3064
35, 57,48.72 ,496, 522
39, 40,49.02 ,4455, 4633
11, 57,50.16 ,1118, 1111
26, 63,45.14 ,3636, 4419
2, 35,47.37 ,3566, 3962
4, 7,54.89 ,3061, 2516
13, 19,45.37 ,4124, 4965
41, 55,47.95 ,1991, 2161
54, 76,43.8 ,1589, 2039
7, 86,44.64 ,7426, 9210
3, 6,59.05 ,3581, 2483
5, 43,53.04 ,1621, 1435
7, 38,52.96 ,1581, 1404
5, 48,54.72 ,3784, 3131
9, 16,53.04 ,6755, 5980
29, 30,51.14 ,4739, 4528
47, 84,59.51 ,7864, 5350
10, 11,42.47 ,4673, 6329
8, 23,49.38 ,7820, 8017
30, 39,47.0 ,7823, 8823
3, 21,49.53 ,4589, 4677
5, 57,54.54 ,1057, 881
31, 53,47.23 ,2667, 2980
20, 36,58.14 ,2438, 1755
3, 18,54.96 ,3704, 3036
8, 85,54.09 ,8344, 7081
37, 39,49.68 ,4270, 4325
25, 31,49.29 ,6588, 6778
18, 27,52.52 ,7879, 7123
41, 49,47.95 ,2757, 2993
32, 69,46.33 ,1217, 1410
2, 61,64.55 ,2030, 1115
39, 50,46.91 ,3423, 3874
40, 51,57.45 ,3887, 2879
41, 46,50.28 ,5837, 5773
28, 113,52.8 ,3877, 3466
7, 12,45.69 ,3741, 4447
8, 50,50.32 ,7078, 6988
26, 47,49.64 ,6196, 6286
32, 42,51.46 ,1212, 1143
46, 60,52.42 ,2121, 1925
44, 107,46.9 ,6797, 7694
6, 31,57.47 ,8304, 6145
1, 37,48.77 ,6401, 6725
21, 32,52.53 ,5307, 4795
49, 56,54.86 ,1218, 1002
17, 23,41.21 ,1367, 1950
12, 34,46.62 ,1303, 1492
44, 68,51.32 ,6555, 6217
18, 51,54.82 ,8263, 6809
13, 84,51.06 ,6251, 5991
59, 67,52.96 ,2606, 2315
10, 37,50.57 ,4228, 4132
39, 83,50.72 ,5283, 5134
12, 84,49.92 ,4498, 4512
44, 55,46.42 ,1846, 2131
7, 68,50.65 ,4107, 4001
27, 36,54.9 ,3402, 2795
31, 40,53.63 ,3781, 3269
38, 74,54.42 ,3569, 2989
8, 34,52.47 ,6786, 6146
9, 13,49.1 ,3980, 4126
19, 64,49.93 ,7783, 7804
18, 40,54.31 ,6813, 5732
6, 38,62.61 ,2980, 1780
9, 67,51.98 ,13024, 12034
26, 51,48.68 ,8066, 8505
16, 29,47.67 ,439, 482
25, 51,52.2 ,5658, 5182
34, 84,52.44 ,5539, 5024
46, 47,53.18 ,995, 876
41, 47,54.83 ,6488, 5344
9, 87,50.67 ,6400, 6231
12, 39,43.17 ,2885, 3798
22, 32,56.62 ,3546, 2717
